Job Title,Company Name,Key Skills,Location,Job Description,More Info
Inside Sales Representative,LAKSH HUMAN RESOURCE,"Inside Sales Representative  ,  Channel Sales  ,   Client Servicing  ,   Corporate Sales",Mumbai,"Job Description:
Sir M.V. Road ,  Andheri East ,  Mumbai Inside Sales Representative Experience : 1 to 5 yrs Skills Required : Job Summary : Key Responsibilities:-  US Outbound Lead Generation... More Details",https://www.timesjobs.com/job-detail/inside-sales-representative-laksh-human-resource-mumbai-1-to-4-yrs-jobid-y__PLUS__9x0pZdhApzpSvf__PLUS__uAgZw==&source=srp
Software Engineer - Linux,LAKSH HUMAN RESOURCE,"c    ,  c  ,  device driver development  ,  git  ,  linux  ,  software engineer  ,  linux kernel",Bengaluru / Bangalore,"Job Description:
Koramangala ,  Bengaluru Software Engineer - Linux Experience : 3 to 5 yrs Skills Required : Job Summary : Job Description  C ,  C   ,  Linux Kernel Architechture  To develop ... More Details",https://www.timesjobs.com/job-detail/software-engineer-linux-laksh-human-resource-bengaluru-bangalore-3-to-5-yrs-jobid-v7RfsuGmUBRzpSvf__PLUS__uAgZw==&source=srp
Ruby on Rails Hacker,LAKSH HUMAN RESOURCE,"node.js  ,  postgresql  ,  html5  ,  mysql  ,  angularjs  ,  javascript  ,  jquery  ,  ruby",Mumbai,"Job Description:
Mumbai Ruby on Rails Hacker Experience : 2 to 5 yrs Skills Required : Job Summary : Duties and responsibilities  Excellent knowledge of Ruby ,  Rails ,  popular gems OR node.j... More Details",https://www.timesjobs.com/job-detail/ruby-on-rails-hacker-laksh-human-resource-mumbai-2-to-5-yrs-jobid-OOqRz9P79plzpSvf__PLUS__uAgZw==&source=srp
IOS Developer,LAKSH HUMAN RESOURCE,"c  ,  ios developer  ,  it  ,  ios  ,  mobile development  ,  cocoa touch",Mumbai,"Job Description:
Vile ParleE ,  Mumbai IOS Developer Experience : 1 to 5 yrs Skills Required : Job Summary :  Experience in Designing and building applications for the iOS platform Solid under... More Details",https://www.timesjobs.com/job-detail/ios-developer-laksh-human-resource-mumbai-1-to-5-yrs-jobid-MNBFmFlpgDxzpSvf__PLUS__uAgZw==&source=srp
Wordpress developer,LAKSH HUMAN RESOURCE,"wordpress developer  ,  wordpress  ,  html5  ,  xml  ,  json  ,  it  ,  ajax  ,  javascript  ,  jquery",Mumbai,"Job Description:
Churchgate ,  Mumbai Wordpress developer Experience : 1 to 3 yrs Skills Required : Job Summary : Skill Set:  Expert knowledge of CMS integration of Wordpress and Jhoomla  Expe... More Details",https://www.timesjobs.com/job-detail/wordpress-developer-laksh-human-resource-mumbai-1-to-3-yrs-jobid-3WYX__SLASH__Zzp72pzpSvf__PLUS__uAgZw==&source=srp
Dietitian,LAKSH HUMAN RESOURCE,"nutrition  ,  health  ,  dietitian  ,  healthcare",Bengaluru / Bangalore,"Job Description:
Jayanagar Bangalore Dietitian Experience : 1 to 3 yrs Skills Required : Job Summary : Job description  Providing health advice and promoting healthy eating  Helping people com... More Details",https://www.timesjobs.com/job-detail/dietitian-laksh-human-resource-bengaluru-bangalore-1-to-3-yrs-jobid-wY__SLASH__u8FLNjDNzpSvf__PLUS__uAgZw==&source=srp
Key Account Manager -Service,LAKSH HUMAN RESOURCE,"manager  ,  key account management  ,  client servicing",Mumbai,"Job Description:
Mumbai Key Account Manager -Service Experience : 8 to 10 yrs Skills Required : Job Summary : Job Description  Key Account Management  Client Servicing  Customer Support  Escal... More Details",https://www.timesjobs.com/job-detail/key-account-manager-service-laksh-human-resource-mumbai-8-to-10-yrs-jobid-PWSAUcxg6JpzpSvf__PLUS__uAgZw==&source=srp
Sales  &  Marketing Manager,LAKSH HUMAN RESOURCE,"marketing  ,  marketing activities  ,  manager  ,  sales  &  marketing  ,  selling  ,  sales  ,  field sales",Mumbai,"Job Description:
Mumbai Sales  &  Marketing Manager Experience : 2 to 5 yrs Skills Required : Job Summary : Reviewing your own sales performance ,  aiming to meet or exceed target. Acting as a... More Details",https://www.timesjobs.com/job-detail/sales-marketing-manager-laksh-human-resource-mumbai-2-to-5-yrs-jobid-aQpATsyW2__SLASH__hzpSvf__PLUS__uAgZw==&source=srp
Sales Executive  /  Sales Manager,LAKSH HUMAN RESOURCE,"sales manager  ,  sales executive  ,  sales  ,  field sales","Gurgaon,  Delhi,  Delhi/NCR","Job Description:
Gurgaon Sales Executive  /  Sales Manager Experience : 2 to 5 yrs Skills Required : Job Summary :  Should have experience in Real Estate industry ,  preferably in the Sale of ... More Details",https://www.timesjobs.com/job-detail/sales-executive-sales-manager-laksh-human-resource-gurgaon-delhi-delhi-ncr-2-to-5-yrs-jobid-gzGYspCL0U1zpSvf__PLUS__uAgZw==&source=srp
Business Development Manager,LAKSH HUMAN RESOURCE,"marketing activities  ,  business development manager  ,  sales",Mumbai,"Job Description:
Mumbai City Business Development Manager Experience : 3.6 to 5 yrs Skills Required : Job Summary : Looking out for young , dynamic and presentable post graduates having 0-2 ye... More Details",https://www.timesjobs.com/job-detail/business-development-manager-laksh-human-resource-mumbai-6-to-9-yrs-jobid-K__SLASH__FO3tFLSahzpSvf__PLUS__uAgZw==&source=srp
DEVELOPER  /  PROGRAMMER - SAP SD - Mumbai P4,LAKSH HUMAN RESOURCE,"sap  ,  implementation  ,  sap sd  ,  credit management  ,  sd module  ,  pricing",Mumbai,"Job Description:
Mumbai DEVELOPER  /  PROGRAMMER - SAP SD - Mumbai P4 Experience : 4 to 6 yrs Skills Required : Job Summary : Job Description Technical requirement for 'SAP SD' Candidate shoul... More Details",https://www.timesjobs.com/job-detail/developer-programmer-sap-sd-mumbai-p4-laksh-human-resource-mumbai-4-to-6-yrs-jobid-NDMknP3zj5BzpSvf__PLUS__uAgZw==&source=srp
Project Coordinator,LAKSH HUMAN RESOURCE,"issue management  ,  project coordinator  ,  technology solutions",Bengaluru / Bangalore,"Job Description:
Bangalore Project Coordinator Experience : 2 to 3 yrs Skills Required : Job Summary : Job Description We are looking for a Project Coordinator who will be deployed full time o... More Details",https://www.timesjobs.com/job-detail/project-coordinator-laksh-human-resource-bengaluru-bangalore-2-to-3-yrs-jobid-DxCkrPMpGOBzpSvf__PLUS__uAgZw==&source=srp
Import Export Executive,LAKSH HUMAN RESOURCE,"import  ,  documentation  ,  export executive",Mumbai,"Job Description:
Mumbai Import Export Executive Experience : 2 to 3 yrs Skills Required : Job Summary : Job Description  Practical experience of Imports-Exports Documentation  Excellent Commun... More Details",https://www.timesjobs.com/job-detail/import-export-executive-laksh-human-resource-mumbai-2-to-3-yrs-jobid-HXJQ5oB6cPpzpSvf__PLUS__uAgZw==&source=srp
Verification Engineer,LAKSH HUMAN RESOURCE,"fpga  ,  ovm  ,  system verilog  ,  uvm  ,  verification engineer  ,  verification",Noida/Greater Noida,"Job Description:
California ,  United States Verification Engineer Experience : 3 to 10 yrs Skills Required : Job Summary : In depth knowledge / experience of System Verilog OVM / UVM. Experie... More Details",https://www.timesjobs.com/job-detail/verification-engineer-laksh-human-resource-noida-greater-noida-3-to-10-yrs-jobid-n85EBA7nbRJzpSvf__PLUS__uAgZw==&source=srp
HR Executive,SEVEN CONSULTANCY,"talent acquisition  ,  hr recruiter  ,  recruitment  ,  employee onboarding  ,  hr generalist  ,  compensation  ,  hr  ,  performance management  ,  training  &  development",Hyderabad/Secunderabad,"Job Description:
JOB DETAILSAdminister compensation and benefit plansAssist in talent acquisition and recruitment processesConduct employee onboarding and help organize training  &  developmen... More Details",https://www.timesjobs.com/job-detail/hr-executive-seven-consultancy-hyderabad-secunderabad-1-to-4-yrs-jobid-JDkF__PLUS__JiyPNNzpSvf__PLUS__uAgZw==&source=srp
Senior Administrative Assistant - Riga,IQVIA,"administrative tasks  ,   document production  ,   travel arrangements  ,   meeting scheduling  ,   office equipment operation.   ,  appointments  ,  management  ,  administrative support",,"Job Description:
Job OverviewProvides high level of administrative support to management and / or department.essential FunctionsProduces documents; collects ,  records ,  sorts and files infor... More Details",https://www.timesjobs.com/job-detail/senior-administrative-assistant-riga-iqvia-3-to-6-yrs-jobid-oGt1kfyPdpBzpSvf__PLUS__uAgZw==&source=srp
HR admin,CONNECTING 2 WORK,"personnel records  ,  processing  ,  hr  ,  hr functions  ,  payroll  ,  hr operations",Thiruvananthapuram,"Job Description:
Job DescriptionWe are looking for an HR  &  Admin Officer to join our team and support the day-to-day activities of our Human Resources department.HR  &  Admin Officer respons... More Details",https://www.timesjobs.com/job-detail/hr-admin-connecting-2-work-thiruvananthapuram-0-to-3-yrs-jobid-SFfpXBKzeYZzpSvf__PLUS__uAgZw==&source=srp
Senior HR Executive,CONNECTING 2 WORK,"senior hr  ,  hr  ,  learning  ,  policy making  ,  recruitment  ,  hr management  ,  payroll  ,  communication",Thiruvananthapuram,"Job Description:
Job Description Responsibilities Supervise the HR team and ensure the goals set are met.Create company policies that will encourage a healthy work environment.Address complain... More Details",https://www.timesjobs.com/job-detail/senior-hr-executive-connecting-2-work-thiruvananthapuram-0-to-3-yrs-jobid-RF__PLUS__cNnRLdntzpSvf__PLUS__uAgZw==&source=srp
Graphic / Designers,JOBNATH HR SERVICES,"hrms  ,  executive search  ,  Graphic Design  ,  salary  ,  dynamic web pages using  ,  ats  ,  corporate training  ,  payroll","Mohali,  Ahmedabad,  Mumbai,  Delhi,  Chennai","Job Description:
Company Description Jobnath is Awarded One of the Best Job Consultancy and Top Executive Search Consulting Firm. Jobnath is one of the most renowned Recruitment  &  Placements... More Details",https://www.timesjobs.com/job-detail/graphic-designers-jobnath-hr-services-mohali-ahmedabad-mumbai-delhi-chennai-0-to-3-yrs-jobid-QYhU__SLASH__RAPOoVzpSvf__PLUS__uAgZw==&source=srp
Lead HR Business Partner,Byjus,"business partner  ,  training needs  ,  learning  ,  hr  ,  hr functions  ,  training  &  development  ,  training programs  ,  talent acquisition  ,  recruitment  ,  hr support  ,  communication skills  ,  employee relations  ,  strategic hr  ,  sales hr  ,  performance management  ,  team building","Guwahati,  Patna,  Kolkata,  Ranchi","Job Description:
The RoleWe are looking for an experienced Sales HR Professional to join us who will be responsible for applying their business knowledge and human resources expertise to creat... More Details",https://www.timesjobs.com/job-detail/lead-hr-business-partner-byjus-guwahati-patna-kolkata-ranchi-7-to-9-yrs-jobid-LvG__PLUS__ChnnnflzpSvf__PLUS__uAgZw==&source=srp
Talent Acquisition Executive,DG7,"interviewing  ,  screening  ,  hr  ,  talent acquisition  ,  recruitment  ,  interview",Mumbai,"Job Description:
Salary: To match capabilitiesWe are seeking a Talent Acquisition Specialist to join our Human Resources department and oversee our full-cycle recruiting by sourcing ,  identif... More Details",https://www.timesjobs.com/job-detail/talent-acquisition-executive-dg7-mumbai-2-to-5-yrs-jobid-3zJCClezlodzpSvf__PLUS__uAgZw==&source=srp
HR Executive,CONNECTING 2 WORK,"exit interviews  ,  it skills  ,  interpersonal skills  ,  performance appraisal  ,  talent acquisition  ,  induction  ,  exit formalities  ,  employee engagement  ,  leave  ,  payroll management  ,  communication  ,  attendance",Cochin/ Kochi/ Ernakulam,"Job Description:
Job Description Position Summary:Support the team in ensuring a great employee and candidate experience at all times and support in all People Operations  &  Administration ac... More Details",https://www.timesjobs.com/job-detail/hr-executive-connecting-2-work-cochin-kochi-ernakulam-2-to-4-yrs-jobid-vVBwLIcQGXxzpSvf__PLUS__uAgZw==&source=srp
Manager,CONNECTING 2 WORK,"nbfc  ,  bank manager  ,  branch management  ,  branch manager  ,  loans",Thiruvananthapuram,"Job Description:
Experience  1 to 5 years relevant experience in Working Capital ,  SME  , Secured and Unsecured Business Loans  ( In NBFC Or Bank )  ,  experience in handling Channel  ( DSA )... More Details",https://www.timesjobs.com/job-detail/manager-connecting-2-work-thiruvananthapuram-1-to-5-yrs-jobid-VrXX5RtSQDFzpSvf__PLUS__uAgZw==&source=srp
DMTM HR Compensation and Benefit Consultant,Intel Technology India Pvt Ltd,"compensation design   ,   stakeholder management   ,   data analysis   ,   hr solutions   ,   compliance assurance   ,  incentives  ,  processing",China,"Job Description:
Intel Dalian Memory Technology and Manufacturing  ( DMTM )  is high-volume manufacturing memory fab in Intel China working on leading edge 3D NAND product. Intel and SK Hynix ... More Details",https://www.timesjobs.com/job-detail/dmtm-hr-compensation-and-benefit-consultant-intel-technology-india-pvt-ltd-china-10-to-15-yrs-jobid-tPcg__SLASH__OtiqS5zpSvf__PLUS__uAgZw==&source=srp
( Junior )  HR Generalist international  ( m / f / d ),Nagarro India Pvt Ltd,"hr advisory   ,   labor law   ,   global team leadership   ,   communication skills   ,   payroll knowledge   ,  employment law  ,  learning  ,  assertive  ,  hr processes","Germany,  Switzerland,  France","Job Description:
Company Description We're Nagarro. We are a digital product engineering company that is scaling in a big way! We build products ,  services ,  and experiences that inspire ,  ... More Details",https://www.timesjobs.com/job-detail/junior-hr-generalist-international-m-f-d-nagarro-india-pvt-ltd-germany-switzerland-france-3-to-5-yrs-jobid-qt9Hr8ORdN5zpSvf__PLUS__uAgZw==&source=srp
HR Generalist Internship Job Details | Alstom,Alstom Projects India Ltd.,"recruitment  ,   employer branding  ,   training  ,   performance management  ,   talent acquisition   ,  business partner  ,  business partnering  ,  interpersonal skills  ,  hr  ,  talent development  ,  induction  ,  hr generalist  ,  hrbp  ,  hr processes",Italy,"Job Description:
HR Generalist InternshipDate: 17 Jun 2024Location: Nola ,  NA ,  ITCompany: AlstomReq ID: 458911At Alstom ,  we understand transport networks and what moves people. From high-... More Details",https://www.timesjobs.com/job-detail/hr-generalist-internship-job-details-alstom-alstom-projects-india-ltd-italy-0-to-3-yrs-jobid-CaOieCdelB1zpSvf__PLUS__uAgZw==&source=srp
Lead HR Business Partner,Byjus,"business partner  ,  training needs  ,  learning  ,  hr  ,  hr functions  ,  hr professional  ,  training  &  development  ,  training programs  ,  talent acquisition  ,  recruitment  ,  hr support  ,  communication skills  ,  employee relations  ,  hrbp  ,  strategic hr  ,  sales hr  ,  performance management  ,  team building","Delhi,  Delhi/NCR","Job Description:
Delivering a world-class learning experience ,  programs from BYJUS are making learning contextual and visual. The apps have been designed to adapt to the unique learning styl... More Details",https://www.timesjobs.com/job-detail/lead-hr-business-partner-byjus-delhi-delhi-ncr-6-to-8-yrs-jobid-ZClGCjNoAKtzpSvf__PLUS__uAgZw==&source=srp
Talent Transformation Consultant,IBM India Pvt Ltd,"consulting  ,   business analysis  ,   hr domain  ,   project management  ,   hr systems implementation   ,  human capital management  ,  talent management  ,  hr transformation  ,  communication skills  ,  resource development",Japan,"Job Description:
# ## IntroductionA career in IBM Consulting is rooted by long-term relationships and close collaboration with clients across the globe. Youll work with visionaries across mult... More Details",https://www.timesjobs.com/job-detail/talent-transformation-consultant-ibm-india-pvt-ltd-japan-3-to-8-yrs-jobid-__PLUS____SLASH__jWq7CLU__PLUS__1zpSvf__PLUS__uAgZw==&source=srp
Executive chef - Indian fusion cuisine  /  Tapas cuisine,alliance recruitment agency,"hygiene  ,  hotel  ,  cooking  ,  chef  ,  head chef  ,  food preparation  ,  executive chef  ,  kitchen staff  ,  hotel management",Netherlands,"Job Description:
# **Location:** Netherlands ,  EindhovenWe are looking to hire an Executive Chef for our kitchen staff at our location in Netherlands ,  Eindhoven. The ideal candidate should ... More Details",https://www.timesjobs.com/job-detail/executive-chef-indian-fusion-cuisine-tapas-cuisine-alliance-recruitment-agency-netherlands-10-to-13-yrs-jobid-PHmPjiK7lW5zpSvf__PLUS__uAgZw==&source=srp
Subject Matter Experts - All Subjects,SolutionInn,"Subject Matter Experts  ,  accounting subject  ,  accounting questions",Mumbai,"Job Description:
Hello expert is currently looking to hire subject matter experts who are willing to influence the new generation of international students. This role requires an individual wh... More Details",https://www.timesjobs.com/job-detail/subject-matter-experts-all-subjects-solutioninn-mumbai-0-to-3-yrs-jobid-UKTqVd72dxBzpSvf__PLUS__uAgZw==&source=srp
HR Assistant,yagna technologies private limited,"hr assistant  ,  recruitment  ,  communication  ,  employee records",Hyderabad/Secunderabad,"Job Description:
HR Assistant  ( 0-1yr experience )  Job Description: We are looking for an HR assistant to handle a variety of personnel related administrative duties.Responsibilities Compile... More Details",https://www.timesjobs.com/job-detail/hr-assistant-yagna-technologies-private-limited-hyderabad-secunderabad-0-to-3-yrs-jobid-kG7fpfsrKhFzpSvf__PLUS__uAgZw==&source=srp
Accounts Cum HR Executive- Bangalore- 2 to 5 years- upto 3 LPA - Angel  &  Genie,Angel and Genie,"accounts  ,   hr  ,   tally  ,   recruitment  ,   iso   ,  reports  ,  balance sheet  ,  excel  ,  profit  &  loss  ,  daily accounting  ,  legal  ,  cash flow",Bengaluru / Bangalore,"Job Description:
Job Category: Accounts Cum HR ExecutiveJob Type: Full-timeJob Location: BangaloreSalary: Up to 3 LPAYears of Experience: 2 to 5 yearsRoles  & amp; ResponsibilitiesOversee all ... More Details",https://www.timesjobs.com/job-detail/accounts-cum-hr-executive-bangalore-2-to-5-years-upto-3-lpa-angel-genie-angel-and-genie-bengaluru-bangalore-2-to-5-yrs-jobid-FtJgtuK1__PLUS__9lzpSvf__PLUS__uAgZw==&source=srp
Head HRGA,Arkray Healthcare Pvt Ltd,"iso  ,  general maintenance  ,  safety  ,  manufacturing  ,  planning",Surat,"Job Description:
Job Description: Reporting to: Head of Corporate Support Division.Minimum 5 years experience in manufacturing sector ,  preferably healthcare industryRequirementsEducational q... More Details",https://www.timesjobs.com/job-detail/head-hrga-arkray-healthcare-pvt-ltd-surat-5-to-8-yrs-jobid-i1LtRstzUtBzpSvf__PLUS__uAgZw==&source=srp
PHP Developer,infilon technologies,"mvc framework  ,  laravel  ,  css  ,  php developer  ,  bootstrap  ,  javascript  ,  jquery  ,  database  ,  xml  ,  codeigniter  ,  oops  ,  php  ,  mysql  ,  html  ,  mvc",Ahmedabad,"Job Description:
We are looking for PHP Developer with the following ,  Infilon Technologies is an established and creative Ahmedabad ,  India-based Company. We are the pioneers of outsourcing... More Details",https://www.timesjobs.com/job-detail/php-developer-infilon-technologies-ahmedabad-1-to-4-yrs-jobid-oBj10__SLASH__K0VPpzpSvf__PLUS__uAgZw==&source=srp
HR Generalist,INFINITY GROUP,"hr  ,  generalist  ,  payroll management  ,  hr generalist  ,  payroll  ,  employee performance  ,  communication skills","Delhi,  Delhi/NCR","Job Description:
Job Description with Roles and Responsibilities: A Human Resources  ( HR )  is responsible for managing every aspect of the employment process ,  including orientation and tra... More Details",https://www.timesjobs.com/job-detail/hr-generalist-infinity-group-delhi-delhi-ncr-1-to-4-yrs-jobid-bWcPuu1j0uBzpSvf__PLUS__uAgZw==&source=srp
Production Support Engineer  /  Senior Software Engineer  /  IT Associate,LAKSH HUMAN RESOURCE,".net  ,  senior software engineer  ,  it  ,  technology  ,  erp  /  crm  ,  production support engineer",Mumbai,"Job Description:
nd Floor ,  Premier House ,  Plot  ,  MIDC Central Road ,  Phase  ,  Andheri East ,  Mumbai ,  Maharashtra Production Support Engineer  /  Senior Software Engineer  /  IT Asso... More Details",https://www.timesjobs.com/job-detail/production-support-engineer-senior-software-engineer-it-associate-laksh-human-resource-mumbai-3-to-5-yrs-jobid-EJJP84VwfyxzpSvf__PLUS__uAgZw==&source=srp
UI / UX Designer,LAKSH HUMAN RESOURCE,"website  ,  dreamweaver  ,  ux  ,  ui designer  ,  ux designer  ,  mobile  ,  photoshop  ,  designer  ,  user experience  ,  environment  ,  information architecture  ,  illustrator",Noida/Greater Noida,"Job Description:
Looking for experienced UX / UI designer with proven experience in web / mobile app design with strong focus on user experience.  Designer will primarily work to visualize / c... More Details",https://www.timesjobs.com/job-detail/ui-ux-designer-laksh-human-resource-noida-greater-noida-3-to-5-yrs-jobid-9oVSBh3urMBzpSvf__PLUS__uAgZw==&source=srp
Data Uploader,LAKSH HUMAN RESOURCE,"photo editing  ,  photoshop  ,  image manipulation  ,  ms paint",Noida/Greater Noida,"Job Description:
Oberoi Garden Estates ,  Chandivali Farm Road ,  Powai Data Uploader Experience : 0 to 0.6 yrs Skills Required : Job Summary : Job Description  Excellent with using computer. ... More Details",https://www.timesjobs.com/job-detail/data-uploader-laksh-human-resource-noida-greater-noida-6-to-9-yrs-jobid-vdnqKzcZouRzpSvf__PLUS__uAgZw==&source=srp
Back Office Sales Manager  /  Pre sales,LAKSH HUMAN RESOURCE,"managing profitable customers  ,   overall Sales Cycle  ,   Customer Value Management",Mumbai,"Job Description:
th Floor ,  Krislon House ,  Krishnalal Marwah Marg Sakinaka ,  Andheri East ,  Mumbai India Back Office Sales Manager  /  Pre sales Experience : 1 to 2 yrs Skills Required : ... More Details",https://www.timesjobs.com/job-detail/back-office-sales-manager-pre-sales-laksh-human-resource-mumbai-1-to-2-yrs-jobid-3IZo0Q__SLASH__DjiNzpSvf__PLUS__uAgZw==&source=srp
Sr SEO Specialist,LAKSH HUMAN RESOURCE,"seo specialist  ,  website  ,  seo","Delhi,  Delhi/NCR","Job Description:
Okhla Phase II New Delhi Sr SEO Specialist Experience : 3 to 4 yrs Skills Required : Job Summary :  Ensure that the website has been technically optimized to attract and engag... More Details",https://www.timesjobs.com/job-detail/sr-seo-specialist-laksh-human-resource-delhi-delhi-ncr-3-to-4-yrs-jobid-o0DIDHY7Z4NzpSvf__PLUS__uAgZw==&source=srp
Web / Graphic Designer,LAKSH HUMAN RESOURCE,"website  ,  graphics  ,  technology  ,  it  ,  graphic designer  ,  designing",Mumbai,"Job Description:
Colaba ,  Mumbai Web / Graphic Designer Experience : 2 to 5 yrs Skills Required : Job Summary : Job Description  Experience in creating website in line with the concepts of we... More Details",https://www.timesjobs.com/job-detail/web-graphic-designer-laksh-human-resource-mumbai-2-to-5-yrs-jobid-BDH2wa__PLUS__cNq9zpSvf__PLUS__uAgZw==&source=srp
Delegate Sales Associate,LAKSH HUMAN RESOURCE,"clients  ,  sales manager  ,  sales associate  ,  sales executive  ,  sales",Mumbai,"Job Description:
Ghatkopar West ,  Mumbai Delegate Sales Associate Experience : 2 to 5 yrs Skills Required : Job Summary : Main Duties and Responsibilities:  Uphold the mission values and goal... More Details",https://www.timesjobs.com/job-detail/delegate-sales-associate-laksh-human-resource-mumbai-2-to-5-yrs-jobid-0T5BA9oqOAxzpSvf__PLUS__uAgZw==&source=srp
Manager Statutory Audit,LAKSH HUMAN RESOURCE,"statutory audit  ,  audit  ,  legal  ,  accounting  ,  ca",Chennai,"Job Description:
Mylapore ,  Chennai Manager Statutory Audit Experience : 5 to 6 yrs Skills Required : Job Summary : Role  &  Responsibilities  Work with the Audit practice to execute Statutor... More Details",https://www.timesjobs.com/job-detail/manager-statutory-audit-laksh-human-resource-chennai-5-to-6-yrs-jobid-C__SLASH__F17ssDNAFzpSvf__PLUS__uAgZw==&source=srp
Assistant Manager  /  Manager Procurement,LAKSH HUMAN RESOURCE,"negotiator  ,  category manager  ,  procurement manager  ,  procurement  ,  buying  ,  procurement experience  ,  category management",Bengaluru / Bangalore,"Job Description:
Domlur ,  Bengaluru ,  Karnataka Assistant Manager  /  Manager Procurement Experience : 4 to 8 yrs Skills Required : Job Summary : About the Position:  We are looking for a ca... More Details",https://www.timesjobs.com/job-detail/assistant-manager-manager-procurement-laksh-human-resource-bengaluru-bangalore-4-to-8-yrs-jobid-loyawUKeW01zpSvf__PLUS__uAgZw==&source=srp
Assistant Manager Sales /  Sales Manager,LAKSH HUMAN RESOURCE,"Sales Manager  ,  developing sales  ,  selling  ,   convincing",Chennai,"Job Description:
Chennai Assistant Manager Sales /  Sales Manager Experience : 5 to 9 yrs Skills Required : Job Summary : Job Title : Assistant Manager Sales /  Sales Manager Job Type : Full T... More Details",https://www.timesjobs.com/job-detail/assistant-manager-sales-sales-manager-laksh-human-resource-chennai-5-to-9-yrs-jobid-tA__PLUS__WtTjRom1zpSvf__PLUS__uAgZw==&source=srp
Customer Sales Representative,LAKSH HUMAN RESOURCE,"Customer Sales Representative  ,  health care services  ,  Customer Sales",Mumbai,"Job Description:
Alpha ,  Main St. Opp Galleria Mall ,  Hiranandani Gardens ,  Powai Mumbai Customer Sales Representative Experience : 1 to 3 yrs Skills Required : Job Summary : Role- The pers... More Details",https://www.timesjobs.com/job-detail/customer-sales-representative-laksh-human-resource-mumbai-1-to-3-yrs-jobid-Po3PsVoJzHRzpSvf__PLUS__uAgZw==&source=srp
Research Assistant,LAKSH HUMAN RESOURCE,"Research Assistant  ,  internal projects  ,  Conducting secondary research",Mumbai,"Job Description:
Andheri East ,  Mumbai Research Assistant Experience : 1 to 4 yrs Skills Required : Job Summary : We are looking to hire a Research Assistant who will provides support to seni... More Details",https://www.timesjobs.com/job-detail/research-assistant-laksh-human-resource-mumbai-1-to-4-yrs-jobid-xuNcHerS7xNzpSvf__PLUS__uAgZw==&source=srp
Software Engineer - Backend,LAKSH HUMAN RESOURCE,"rest  ,  cache  ,  python  ,  technology  ,  storage  ,  machine learning  ,  nosql  ,  security  ,  cassandra  ,  php  ,  software engineer  ,  api",Bengaluru / Bangalore,"Job Description:
Bangalore Software Engineer - Backend Experience : 2 to 7 yrs Skills Required : Job Summary : We are currently looking for people to join our backend team where internet scale... More Details",https://www.timesjobs.com/job-detail/software-engineer-backend-laksh-human-resource-bengaluru-bangalore-2-to-7-yrs-jobid-IR4EVJ4iWJNzpSvf__PLUS__uAgZw==&source=srp
Software Engineer - Frontend,LAKSH HUMAN RESOURCE,"css  ,  mobile  ,  technology  ,  javascript  ,  environment  ,  linux  ,  software engineer",Bengaluru / Bangalore,"Job Description:
Bangalore Software Engineer - Frontend Experience : 2 to 7 yrs Skills Required : Job Summary : We are currently looking for people to help us build delightful shopping experie... More Details",https://www.timesjobs.com/job-detail/software-engineer-frontend-laksh-human-resource-bengaluru-bangalore-2-to-7-yrs-jobid-XYmzkklh5RtzpSvf__PLUS__uAgZw==&source=srp
Assistant Manager  /  Team Leader,LAKSH HUMAN RESOURCE,"monthly monitoring  ,   good practices   ,   structure of quality control",Mumbai,"Job Description:
Malad West ,  Mumbai Assistant Manager  /  Team Leader Experience : 3 to 4 yrs Skills Required : Job Summary : Job Description  Recruit and manage a team  Responsible for reve... More Details",https://www.timesjobs.com/job-detail/assistant-manager-team-leader-laksh-human-resource-mumbai-3-to-4-yrs-jobid-EnQ07VvtIWxzpSvf__PLUS__uAgZw==&source=srp
ETL DataStage Developer / Sr. Developer,LAKSH HUMAN RESOURCE,"oracle  ,  datastage developer  ,  datastage  ,  teradata  ,  bi  ,  etl  ,  sql database",Pune,"Job Description:
Pune ETL DataStage Developer / Sr. Developer Experience : 5 to 7 yrs Skills Required : Job Summary :  Overall experience of 5  years in DW / BI technologies and minimum 5 year... More Details",https://www.timesjobs.com/job-detail/etl-datastage-developer-sr-developer-laksh-human-resource-pune-5-to-8-yrs-jobid-uwHcTIhIxSFzpSvf__PLUS__uAgZw==&source=srp
Core Java Developer,LAKSH HUMAN RESOURCE,"hibernate  ,  java developer  ,  spring  ,  database  ,  swing  ,  java  ,  bw  ,  crm","Pune,  Bengaluru / Bangalore","Job Description:
Pune ,  Bangalore Core Java Developer Experience : 5 to 12 yrs Skills Required : Job Summary : 5 years Core Java 5.0  1 position To be able to support exponential growth over ... More Details",https://www.timesjobs.com/job-detail/core-java-developer-laksh-human-resource-pune-bengaluru-bangalore-5-to-8-yrs-jobid-XAusrjXA2CFzpSvf__PLUS__uAgZw==&source=srp
Tele sales Counsellor,LAKSH HUMAN RESOURCE,"tele sales    ,  communication skills  ,   Passionate about Sales",Mumbai,"Job Description:
Raheja Plaza ,  Besides Kalpataru Aura ,  Near R.city Mall Ghatkopar West ,  Mumbai Tele sales Counsellor - Bengali Experience : 1 to 9 yrs Skills Required : Job Summary : Exc... More Details",https://www.timesjobs.com/job-detail/tele-sales-counsellor-laksh-human-resource-mumbai-1-to-9-yrs-jobid-o__SLASH__MWifVzRVxzpSvf__PLUS__uAgZw==&source=srp
