Job Title,Company Name,Key Skills,Location,Job Description,More Info
Human Resource,Confosys,"head hunting  ,  screening  ,  ites  ,  communication  ,  bpo hiring  ,  recruitment cycle",Gurgaon,"Job Description:
Desired Candidate Profile:Good Communication and convincing skillsHave experience in BPO HIRING  ( preferred ) Knowledge of Recruitment cycleStrong follow up with candidatesSo... More Details",https://www.timesjobs.com/job-detail/human-resource-confosys-gurgaon-1-to-4-yrs-jobid-inAwAM8SWRhzpSvf__PLUS__uAgZw==&source=srp
Human Resource,Bhanguz,"hr  ,  interview  ,  mba hr  ,  communication skills",Mohali,"Job Description:
Human Resource Location: Mohali ,  Punjab - Department: ProgrammingUrgently Required HR Fresher or Experienced The following are the requirementsMBA HR MustExcellent Communica... More Details",https://www.timesjobs.com/job-detail/human-resource-bhanguz-mohali-0-to-3-yrs-jobid-ioB5__SLASH__piFMbJzpSvf__PLUS__uAgZw==&source=srp
Human Resource,signicent information solutions llp,"joining formalities  ,  screening  ,  employee relations  ,  hr  ,  performance appraisal  ,  hr operations  ,  performance review  ,  exit process  ,  compensation  ,  interview",Mohali,"Job Description:
1. Screening of the candidates ,  conducting telephonic round of interview and scheduling face to face interviews through phone2. Plan ,  organize ,  and conduct orientation s... More Details",https://www.timesjobs.com/job-detail/human-resource-signicent-information-solutions-llp-mohali-1-to-4-yrs-jobid-PDsKb66TU8VzpSvf__PLUS__uAgZw==&source=srp
Human Resource,adio brand solutions pvt. ltd,"employee engagement  ,  senior hr executive  ,  compensation  ,  performance management  ,  hr operations","Delhi,  Delhi/NCR","Job Description:
Job Description : We are looking for a Skilled / Experienced ,  Senior HR Executive in Digital Media Co. ,  to oversee all aspects of Human Resources practices and processes. ... More Details",https://www.timesjobs.com/job-detail/human-resource-adio-brand-solutions-pvt-ltd-delhi-delhi-ncr-7-to-8-yrs-jobid-yvCxHM3JNCVzpSvf__PLUS__uAgZw==&source=srp
Human Resource,Bhanguz,"hr  ,  interview  ,  mba hr  ,  communication skills",Mohali,"Job Description:
Human Resource Location: Mohali ,  Punjab - Department: ProgrammingUrgently Required HR Fresher or Experienced The following are the requirementsMBA HR MustExcellent Communica... More Details",https://www.timesjobs.com/job-detail/human-resource-bhanguz-mohali-0-to-3-yrs-jobid-67utE3sAvpBzpSvf__PLUS__uAgZw==&source=srp
Human Resource,signicent information solutions llp,"joining formalities  ,  screening  ,  employee relations  ,  hr  ,  performance appraisal  ,  hr operations  ,  performance review  ,  exit process  ,  compensation  ,  interview",Mohali,"Job Description:
1. Screening of the candidates ,  conducting telephonic round of interview and scheduling face to face interviews through phone2. Plan ,  organize ,  and conduct orientation s... More Details",https://www.timesjobs.com/job-detail/human-resource-signicent-information-solutions-llp-mohali-1-to-4-yrs-jobid-drl7TZeSiYxzpSvf__PLUS__uAgZw==&source=srp
Human Resource,adio brand solutions pvt. ltd,"employee engagement  ,  senior hr executive  ,  compensation  ,  performance management  ,  hr operations","Delhi,  Delhi/NCR","Job Description:
Job Description : We are looking for a Skilled / Experienced ,  Senior HR Executive in Digital Media Co. ,  to oversee all aspects of Human Resources practices and processes. ... More Details",https://www.timesjobs.com/job-detail/human-resource-adio-brand-solutions-pvt-ltd-delhi-delhi-ncr-7-to-8-yrs-jobid-dYOiM8qp4KFzpSvf__PLUS__uAgZw==&source=srp
Human Resources,Tradepass,"talent acquisition  ,  hr  ,  payroll  ,  performance management",Bengaluru / Bangalore,"Job Description:
HR Responsibilities IncludeThe ideal candidate will support the full scope of Human Resources responsibilities and partner with the organization on strategic initiatives. They... More Details",https://www.timesjobs.com/job-detail/human-resources-tradepass-bengaluru-bangalore-5-to-8-yrs-jobid-plUqSDxOnfxzpSvf__PLUS__uAgZw==&source=srp
Human Resource,spider india,"hrm  ,  hris  ,  hr  ,  conflict resolution  ,  recruitment  ,  stress management",Chennai,"Job Description:
Description Proven expertise in handling End-to-End Recruitment processes.Work with company CEO and / or Director to strategically plan HR initiatives that will benefit the co... More Details",https://www.timesjobs.com/job-detail/human-resource-spider-india-chennai-2-to-5-yrs-jobid-oJDq__PLUS__9YQK9ZzpSvf__PLUS__uAgZw==&source=srp
Human Resource,Confosys,"head hunting  ,  screening  ,  ites  ,  communication  ,  bpo hiring  ,  recruitment cycle",Gurgaon,"Job Description:
Desired Candidate Profile:Good Communication and convincing skillsHave experience in BPO HIRING  ( preferred ) Knowledge of Recruitment cycleStrong follow up with candidatesSo... More Details",https://www.timesjobs.com/job-detail/human-resource-confosys-gurgaon-1-to-4-yrs-jobid-E__PLUS__Y4AjdrJm9zpSvf__PLUS__uAgZw==&source=srp
Human Resources,v support solutions,"msw  ,  screening  ,  hrm  ,  recruitment  ,  hr  ,  interview  ,  training  &  development",Coimbatore,"Job Description:
Roles  & amp; Responsibilities:Recruitment:A )  Screening the resumes  & amp; performing in-person / telephonic interviews with candidates.B )  Coordinating interviews with th... More Details",https://www.timesjobs.com/job-detail/human-resources-v-support-solutions-coimbatore-0-to-3-yrs-jobid-nQkvJ__PLUS____PLUS__RxeNzpSvf__PLUS__uAgZw==&source=srp
Human Resources,"SAMPOORNA CONSULTANTS PVT LTD
     (More Jobs)",US HR operations,Chennai,"Job Description:
This position is responsible for processing ,  maintaining ,  and filing documentation to support HR Policies  &  Procedures ,  Benefits and Employee Programs.this position wi... More Details",https://www.timesjobs.com/job-detail/human-resources-employee-ambassador-analyst-gcc-j47220-a-leading-firm-chennai-8-to-13-yrs-jobid-p__PLUS__tVDajGPX9zpSvf__PLUS__uAgZw==&source=srp
Human Resource,"L.A. HOTELS & RETREATS PRIVATE LIMITED
     (More Jobs)","Human Resource  ,  hr manager  ,  manager hr",Delhi,"Job Description:
Master'shigh-performancehigh-performanceRole  &  responsibilitiesDevelop and implement HR strategies and initiatives aligned with the overall business strategyBridge managemen... More Details",https://www.timesjobs.com/job-detail/human-resource-manager-l-a-hotels-retreats-private-limited-delhi-5-to-10-yrs-jobid-TM7NKZwIjTdzpSvf__PLUS__uAgZw==&source=srp
Human Resources,"Clients Demos
     (More Jobs)","Human Resources  ,  recruiter",Hyderabad/Secunderabad,"Job Description:
We are looking for a Recruitment Specialist to undertake all hiring activities ,  from advertising open roles to interviewing candidates and closing hires.Recruitment Speciali... More Details",https://www.timesjobs.com/job-detail/human-resources-recruitment-specialist-clients-demos-hyderabad-secunderabad-0-to-1-yrs-jobid-__PLUS__62Bx8PWgYBzpSvf__PLUS__uAgZw==&source=srp
Human Resource,"whiteicenetwork
     (More Jobs)","Human Resources Development  ,  office administration  ,  HR Payroll  ,  HR Operations  ,  HR Manager  ,  Human Resources Recruiting  ,  Recruitment  ,  hr executive  ,  hr recruiter",Ahmedabad,"Job Description:
Before Applying For This Position ,  Please Read Full Description Carefully....Human Resource Manager  WNSHRM05062024Developing and implementing human resources policies.Suppo... More Details",https://www.timesjobs.com/job-detail/human-resource-manager-whiteicenetwork-ahmedabad-5-to-8-yrs-jobid-C2uUGQ3DhbpzpSvf__PLUS__uAgZw==&source=srp
Human Resources,"Electrobrain modern technologies pvt ltd
     (More Jobs)","human resource management  ,  recruitment  ,  payroll  ,  joining formalities  ,  hr generalist activities","Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi,  Delhi/NCR","Job Description:
Responsible  /  Achieve for:1 )  Leading HR Team in the business Unit2 )  Supervise HR Operations3 )  Recruitment timeline ,  Identify ,  Develop relationship with channels fo... More Details",https://www.timesjobs.com/job-detail/assistant-manager-human-resources-electrobrain-modern-technologies-pvt-ltd-ahmedabad-bengaluru-bangalore-chennai-delhi-delhi-ncr-5-to-10-yrs-jobid-qJcMo3JJlmxzpSvf__PLUS__uAgZw==&source=srp
